trial_index,arm_name,trial_status,generation_method,metric,rho,mu,sigma
0,0_0,COMPLETED,Sobol,-0.4956987500190735,2.1171437703247107,14.04972890470259,0.4944792091846466
1,1_0,COMPLETED,Sobol,-0.587608277797699,28.099892475485987,0.015905807783588365,0.8551316680386662
2,2_0,COMPLETED,Sobol,-0.7192458510398865,2906.2547641133024,194.94961620983122,0.11520141456276178
3,3_0,COMPLETED,Sobol,-0.40107065439224243,0.03251873758910408,2.6459394372836873,0.7226877147331834
4,4_0,COMPLETED,Sobol,-0.6752198338508606,0.0013635830455932816,2538.1443071159138,0.9122041612863541
5,5_0,COMPLETED,Sobol,-0.6938022375106812,1333.0217442560008,0.23038692569524372,0.304594911634922
6,6_0,COMPLETED,Sobol,-0.6079259514808655,9.26759666263918,146.15811091728855,0.5407381691038609
7,7_0,COMPLETED,Sobol,-0.4850004017353058,0.1055828518853348,0.0010474237254915633,0.17996275052428246
8,8_0,COMPLETED,Sobol,-0.5197930335998535,0.3943134712946843,916.5156101993559,0.5906780865043402
9,9_0,COMPLETED,Sobol,-0.4661064147949219,4.611102685701764,0.6283654882851827,0.20033962838351727
10,10_0,COMPLETED,Sobol,-0.6967894434928894,356.85871211553604,7.0870252617325145,0.9565016347914934
11,11_0,COMPLETED,Sobol,-0.6314665079116821,0.0027401726198600707,0.02127450687449315,0.31498065032064915
12,12_0,COMPLETED,Sobol,-0.33215072751045227,0.009429494712975358,38.28906954539926,0.0005900738760828972
13,13_0,COMPLETED,Sobol,-0.7164397835731506,6313.223527536535,0.005742470328379153,0.64198989700526
14,14_0,COMPLETED,Sobol,-0.7157959938049316,96.92614702210953,3956.9934456677506,0.38985136803239584
15,15_0,COMPLETED,Sobol,-0.45384839177131653,0.9747587303875677,0.12825875721911434,0.7800686648115516
16,16_0,COMPLETED,Sobol,-0.7686617374420166,0.4782429968382191,6347.761254424114,0.23434062767773867
17,17_0,COMPLETED,Sobol,-0.6329164505004883,129.2035557743381,0.07507611534462406,0.6230835737660527
18,18_0,COMPLETED,Sobol,-0.7223291397094727,4698.3767602077,57.51546830877791,0.3440909394994378
19,19_0,COMPLETED,Sobol,-0.5625118613243103,0.019368815552480382,0.003164983359694742,0.9859848553314805
20,20_0,COMPLETED,Sobol,-0.4112884998321533,0.006093000996535099,4.4351096404334385,0.6755023747682571
21,21_0,COMPLETED,Sobol,-0.6780374646186829,287.49590407520265,0.036205604817381956,0.0334836021065712
22,22_0,COMPLETED,Sobol,-0.5724961161613464,5.67941113001969,607.8005499975656,0.8086909092962742
23,23_0,COMPLETED,Sobol,-0.37062889337539673,0.1787549585735587,1.1445513608009084,0.4198231063783169
24,24_0,COMPLETED,Sobol,-0.3996988534927368,0.0856816708022404,91.38113022714623,0.8217336442321539
25,25_0,COMPLETED,Sobol,-0.6039832234382629,20.433543840562052,0.0017842114480385836,0.4614712130278349
26,26_0,COMPLETED,Sobol,-0.6319971084594727,599.7784455991946,1684.735749357545,0.6941951233893633
27,27_0,COMPLETED,Sobol,-0.569315493106842,0.0016933751493096554,0.4192638008543467,0.08510001935064793
28,28_0,COMPLETED,Sobol,-0.5359293222427368,0.04367471270316291,313.0673803121763,0.2707083700224757
29,29_0,COMPLETED,Sobol,-0.7018831372261047,1414.2041024390762,1.5471543723831611,0.8796842200681567
30,30_0,COMPLETED,Sobol,-0.6774542927742004,57.3007253883845,21.082885776686535,0.1509821182116866
31,31_0,COMPLETED,Sobol,-0.49932366609573364,1.5889993381301906,0.008775567901218435,0.5111252954229712
32,32_0,COMPLETED,Sobol,-0.5142506957054138,1.2062183041883041,275.39392295509936,0.9388819085434079
33,33_0,COMPLETED,Sobol,-0.6685523986816406,49.34691048217059,2.2613227213442197,0.328693893738091
34,34_0,COMPLETED,Sobol,-0.7003971934318542,1862.4106281026711,8.745365465418576,0.5769266942515969
35,35_0,COMPLETED,Sobol,-0.5312631726264954,0.050723519409660314,0.01643706972019626,0.21799749974161386
36,36_0,COMPLETED,Sobol,-0.45221251249313354,0.0024127909072414583,133.07171475915618,0.4034818708896637
37,37_0,COMPLETED,Sobol,-0.7063710689544678,753.6678840783296,0.0015768659572229031,0.7625321373343468
38,38_0,COMPLETED,Sobol,-0.706336498260498,14.338256645923856,3168.8201295477015,0.018088448792696
39,39_0,COMPLETED,Sobol,-0.49204257130622864,0.06820740960845487,0.17335946543861652,0.6283975355327129
40,40_0,COMPLETED,Sobol,-0.3417634963989258,0.2547468249335014,6.456940776623947,0.10147172771394253
41,41_0,COMPLETED,Sobol,-0.561145007610321,7.134381697985605,0.03197450294098581,0.7403234224766493
42,42_0,COMPLETED,Sobol,-0.6230264902114868,201.77242725223323,1142.9310934034413,0.4768358636647463
43,43_0,COMPLETED,Sobol,-0.5548008680343628,0.004848924613989634,0.4729062672320075,0.8688689861446619
44,44_0,COMPLETED,Sobol,-0.7864940762519836,0.014707642087040396,5588.014521418237,0.5582587150856853
45,45_0,COMPLETED,Sobol,-0.7312602996826172,4045.4345530142114,0.10975833945624233,0.166348691098392
46,46_0,COMPLETED,Sobol,-0.698371410369873,170.2036737409077,23.875530399938,0.9258105969056487
47,47_0,COMPLETED,Sobol,-0.42068877816200256,0.5553312452668457,0.005929627104156531,0.2870820006355643
48,48_0,COMPLETED,Sobol,-0.40125972032546997,0.7399064296794726,43.36116355215472,0.7077808128669858
49,49_0,COMPLETED,Sobol,-0.5951687097549438,83.46638235452286,0.003943879777816859,0.06760832387953997
50,50_0,COMPLETED,BoTorch,-0.34494268894195557,0.038202217924382276,11.846655346654638,0.19306488073301492
51,51_0,COMPLETED,BoTorch,-0.34080061316490173,0.03746448105456767,8.346710328622315,0.0
52,52_0,COMPLETED,BoTorch,-0.34108611941337585,0.07869548069892257,12.403000503492558,0.4544421604570251
53,53_0,COMPLETED,BoTorch,-0.3356481194496155,0.007573792954480278,15.723721353941789,0.0
54,54_0,COMPLETED,BoTorch,-0.37602394819259644,0.013880290261794876,17.265279242888404,0.23778213203097823
55,55_0,COMPLETED,BoTorch,-0.37663570046424866,0.13062594924466422,2.802790244425071,0.0
56,56_0,COMPLETED,BoTorch,-0.342631071805954,0.06160364361027357,16.64299074319206,0.0
57,57_0,COMPLETED,BoTorch,-0.3737054467201233,0.12632615351331636,10.35974956502308,1.0
58,58_0,COMPLETED,BoTorch,-0.3478715419769287,0.001,22.8479417067376,0.0
59,59_0,COMPLETED,BoTorch,-0.36494332551956177,0.1526385756985793,7.458828325099408,0.4121828617684915
60,60_0,COMPLETED,BoTorch,-0.37314093112945557,0.0033475550804074276,22.319484278169853,0.0
61,61_0,COMPLETED,BoTorch,-0.350261926651001,0.02132217316431136,17.695405839218495,0.0
62,62_0,COMPLETED,BoTorch,-0.34871363639831543,0.05373937752447455,17.83363212316309,0.7145304314821849
63,63_0,COMPLETED,BoTorch,-0.33692318201065063,0.09213042455450295,17.001303900924416,0.23778485278164171
64,64_0,COMPLETED,BoTorch,-0.3345699608325958,0.12360929074461388,11.665289811381765,0.0
65,65_0,COMPLETED,BoTorch,-0.34391018748283386,0.09330960165242219,9.782100857149565,0.24513605853014386
66,66_0,COMPLETED,BoTorch,-0.32985758781433105,0.14446217239840942,20.630527823019282,0.0
67,67_0,COMPLETED,BoTorch,-0.3550155758857727,0.11338374363869902,22.891191531314547,0.538058817971502
68,68_0,COMPLETED,BoTorch,-0.358498215675354,0.001,22.252605671993944,1.0
