trial_index,arm_name,trial_status,generation_method,metric,rho,mu,sigma
48,48_0,COMPLETED,Sobol,-0.3330215513706207,0.7399064296794726,43.36116355215472,0.7077808128669858
49,49_0,COMPLETED,Sobol,-0.5174123048782349,83.46638235452286,0.003943879777816859,0.06760832387953997
50,50_0,COMPLETED,BoTorch,-0.32199984788894653,3.3593135339939444,199.34374609867461,0.25972806417641076
51,51_0,COMPLETED,BoTorch,-0.3174680769443512,5.236004938298603,118.5820713651591,0.6707204655261216
52,52_0,COMPLETED,BoTorch,-0.30228787660598755,9.246033737379694,142.1144835725961,0.24994521163039857
53,53_0,COMPLETED,BoTorch,-0.30894219875335693,0.001,359.01497130676637,0.0
54,54_0,COMPLETED,BoTorch,-0.3434399962425232,0.0031328678106595795,342.4999337338005,0.0
55,55_0,COMPLETED,BoTorch,-0.3400897681713104,0.1845879290122614,197.6071241915643,0.14905686106763189
56,56_0,COMPLETED,BoTorch,-0.31723254919052124,0.001,221.16559862831033,0.2815602263289635
57,57_0,COMPLETED,BoTorch,-0.310027539730072,8.642201707609159,234.1863099986307,0.40861086395148966
58,58_0,COMPLETED,BoTorch,-0.3013027310371399,10.15937354598257,72.30163690441277,0.38678194004226407
59,59_0,COMPLETED,BoTorch,-0.306135356426239,11.712071625282942,74.74146685376394,0.9148090260693468
60,60_0,COMPLETED,BoTorch,-0.3086440861225128,12.573988607284013,104.76329852694718,0.5619206022684557
61,61_0,COMPLETED,BoTorch,-0.31035661697387695,9.323206884141598,84.71211078017382,0.0
62,62_0,COMPLETED,BoTorch,-0.31734907627105713,0.001,134.81225403916372,0.0
63,63_0,COMPLETED,BoTorch,-0.3046090006828308,9.115643985880418,148.6384061751465,1.0
64,64_0,COMPLETED,BoTorch,-0.31767264008522034,7.408751323876181,55.101245464281135,1.0
65,65_0,COMPLETED,BoTorch,-0.31071484088897705,9.332954644941454,113.8014729067301,0.6515836369451944
66,66_0,COMPLETED,BoTorch,-0.3172447681427002,11.836370603262312,163.37180697026957,0.0
67,67_0,COMPLETED,BoTorch,-0.33732280135154724,8.072245473233641,112.18631236537655,0.35222766506002434
68,68_0,COMPLETED,BoTorch,-0.33400851488113403,1.034633456954828,182.4974552953692,0.0
69,69_0,COMPLETED,BoTorch,-0.35537242889404297,0.001,166.1873032528401,1.0
70,70_0,COMPLETED,BoTorch,-0.3391827344894409,0.03340070580467581,212.61159904857274,0.0
71,71_0,COMPLETED,BoTorch,-0.3225945830345154,5.850634629863441,287.0852137841906,0.0
72,72_0,COMPLETED,BoTorch,-0.317130446434021,13.150869963004276,170.68779635368998,1.0
73,73_0,COMPLETED,BoTorch,-0.32446223497390747,6.062131830100811,136.9884186297252,1.0
74,74_0,COMPLETED,BoTorch,-0.29329684376716614,13.255220701762527,45.242534815258225,0.6711352630610445
75,75_0,COMPLETED,BoTorch,-0.30014681816101074,13.696528484042535,21.949577606610816,1.0
76,76_0,COMPLETED,BoTorch,-0.31262367963790894,15.079697705160235,44.001352888921346,1.0
77,77_0,COMPLETED,BoTorch,-0.31757503747940063,12.47339076443643,26.030567964033178,0.5863794174077597
78,78_0,COMPLETED,BoTorch,-0.34126976132392883,9.730141106625652,5.159371916448216,1.0
79,79_0,COMPLETED,BoTorch,-0.298542320728302,10.73981417606567,34.920875625163966,1.0
80,80_0,COMPLETED,BoTorch,-0.2997986376285553,14.355202747244915,70.06973052763281,0.6351246823713991
81,81_0,COMPLETED,BoTorch,-0.30412557721138,11.451956330560934,59.28917306930604,0.7366150460619154
82,82_0,COMPLETED,BoTorch,-0.3675900995731354,0.4107437472655156,130.12426379058144,1.0
83,83_0,COMPLETED,BoTorch,-0.30101215839385986,14.50394211324678,86.81344644808902,0.34121681369758533
84,84_0,COMPLETED,BoTorch,-0.3500813841819763,0.013571971464164122,204.81560594527085,0.9371047669453421
85,85_0,COMPLETED,BoTorch,-0.29960736632347107,16.717535561993216,41.11146780815342,0.6155729043725677
86,86_0,COMPLETED,BoTorch,-0.29190894961357117,13.845363444048232,54.378362502451154,0.04528044129411447
87,87_0,COMPLETED,BoTorch,-0.3026484549045563,14.42151864327654,51.73866068751746,0.33714959987756593
88,88_0,COMPLETED,BoTorch,-0.30994799733161926,12.782653690137488,36.39856279382796,0.0
89,89_0,COMPLETED,BoTorch,-0.31908923387527466,16.383934836055627,79.340737955969,0.0
90,90_0,COMPLETED,BoTorch,-0.31263983249664307,12.154375757062338,53.26844616279048,0.43106670481232595
91,91_0,COMPLETED,BoTorch,-0.31058353185653687,18.771563177650506,22.362740263223184,1.0
92,92_0,COMPLETED,BoTorch,-0.3016611933708191,15.606724192986514,58.95241763779728,0.8300259706269356
93,93_0,COMPLETED,BoTorch,-0.3049940764904022,13.404136950394301,41.355611058635475,0.8459298153391885
94,94_0,COMPLETED,BoTorch,-0.30141690373420715,12.806638041608545,164.80438709718288,0.5716208370276101
95,95_0,COMPLETED,BoTorch,-0.38182055950164795,8.356271544068177,0.01677135875659678,0.0
96,96_0,COMPLETED,BoTorch,-0.32118186354637146,16.23424564984647,84.83055137260196,0.5656775293098494
97,97_0,COMPLETED,BoTorch,-0.29744982719421387,11.505347593938978,25.944135051346272,0.84229596647293
98,98_0,COMPLETED,BoTorch,-0.30649811029434204,12.882980983389968,36.24729892426336,1.0
99,99_0,COMPLETED,BoTorch,-0.32237792015075684,0.001,237.84433979511704,0.0
100,100_0,COMPLETED,BoTorch,-0.30528900027275085,10.974570965087915,24.77528655477898,1.0
101,101_0,COMPLETED,BoTorch,-0.31734418869018555,13.461378706620705,32.46800264500183,0.7422941849254818
102,102_0,COMPLETED,BoTorch,-0.31414613127708435,0.001,689.3282194441707,0.0
103,103_0,COMPLETED,BoTorch,-0.32486337423324585,0.001,377.59044315090625,0.3352936924510943
104,104_0,COMPLETED,BoTorch,-0.3383249342441559,1.4943282189451943,118.5293968541833,0.4855460194605706
105,105_0,COMPLETED,BoTorch,-0.33798080682754517,2.282205854000098,54.47579445859833,1.0
106,106_0,COMPLETED,BoTorch,-0.3236667215824127,11.258625116565801,19.348119882065014,0.0
107,107_0,COMPLETED,BoTorch,-0.2969227135181427,12.261279405803014,59.179524727129774,0.1800692936630096
108,108_0,COMPLETED,BoTorch,-0.3058311343193054,11.568083791086213,53.89509275757581,1.0
109,109_0,COMPLETED,BoTorch,-0.3320012092590332,3.0106343998559546,701.1212399928746,0.0
110,110_0,COMPLETED,BoTorch,-0.29944178462028503,12.981443546849086,67.01612026395945,0.3205172215942082
