trial_index,arm_name,trial_status,generation_method,metric,guidance_strength,delta_x0_guidance_strength
0,0_0,COMPLETED,Sobol,-0.3511192798614502,2.1171437703247107,14.04972890470259
1,1_0,COMPLETED,Sobol,-0.3591180741786957,11.25494501613153,0.0018190874717152773
2,2_0,COMPLETED,Sobol,-0.6105512380599976,4515.326712387585,1087.4475756251632
3,3_0,COMPLETED,Sobol,-0.6773380041122437,0.006969555537636039,0.0676231568531294
4,4_0,COMPLETED,Sobol,-0.6771380305290222,0.03196072393898811,6595.91948484407
5,5_0,COMPLETED,Sobol,-0.6056438684463501,946.9135564768425,0.6675225831969028
6,6_0,COMPLETED,Sobol,-0.5673189759254456,156.52310375614704,73.81937040179464
7,7_0,COMPLETED,Sobol,-0.5658570528030396,0.15830968650109772,0.016114384022914603
8,8_0,COMPLETED,Sobol,-0.35934245586395264,0.06389532844088555,323.2467826183495
9,9_0,COMPLETED,Sobol,-0.4521617889404297,63.14439270056794,0.24419238285518258
10,10_0,COMPLETED,Sobol,-0.599382758140564,312.8449474300653,3.60158114535977
11,11_0,COMPLETED,Sobol,-0.6771095395088196,0.01056462409746768,0.005921282816758441
12,12_0,COMPLETED,Sobol,-0.37387529015541077,0.0022149557478978238,38.538407048305494
13,13_0,COMPLETED,Sobol,-0.6271781325340271,1434.2686992886104,0.03757843338341841
14,14_0,COMPLETED,Sobol,-0.6157799959182739,4.722828150710441,2996.011383190132
15,15_0,COMPLETED,Sobol,-0.45832332968711853,0.8888210463477708,1.3908209821151927
16,16_0,COMPLETED,Sobol,-0.5246076583862305,0.465177140849424,1727.4981456966732
17,17_0,COMPLETED,Sobol,-0.3397756516933441,6.742131117073369,2.1947667010081613
18,18_0,COMPLETED,Sobol,-0.5870155096054077,2740.316142993005,62.698745998478024
19,19_0,COMPLETED,Sobol,-0.6688722968101501,0.0015514728739400355,0.02238249956522298
20,20_0,COMPLETED,Sobol,-0.5858763456344604,0.019478652082477406,6.258836299306231
21,21_0,COMPLETED,Sobol,-0.5667386054992676,209.80943418588666,0.0037448765711997636
22,22_0,COMPLETED,Sobol,-0.32756200432777405,34.249619844937754,198.29325766697872
23,23_0,COMPLETED,Sobol,-0.5805264711380005,0.09527940928186819,0.41080594334018117
24,24_0,COMPLETED,Sobol,-0.29892706871032715,0.2919420636465353,128.21749399225214
25,25_0,COMPLETED,Sobol,-0.4983291029930115,104.9925905421032,0.010196691288021056
26,26_0,COMPLETED,Sobol,-0.6382055282592773,513.4466601123999,4048.364579439075
27,27_0,COMPLETED,Sobol,-0.6044988632202148,0.04764426058519628,1.1223813758299823
28,28_0,COMPLETED,Sobol,-0.46160662174224854,0.0036487582011609856,627.3056487970875
29,29_0,COMPLETED,Sobol,-0.665890634059906,6447.928252570093,0.1066633978202387
30,30_0,COMPLETED,Sobol,-0.2654592990875244,21.499541238900076,22.84699764554201
31,31_0,COMPLETED,Sobol,-0.4634939432144165,1.4826719977923462,0.0010839940807778898
32,32_0,COMPLETED,Sobol,-0.5102171301841736,1.5977964329009622,858.4755990051265
33,33_0,COMPLETED,Sobol,-0.3474571704864502,14.908967497976587,0.08837755322255801
34,34_0,COMPLETED,Sobol,-0.6930561065673828,9901.632897746531,10.087212849600622
35,35_0,COMPLETED,Sobol,-0.6623226404190063,0.0031789440474575157,0.0021641349802172527
36,36_0,COMPLETED,Sobol,-0.2987246513366699,0.04251045029764096,106.06651931002281
37,37_0,COMPLETED,Sobol,-0.6135258078575134,711.7622662637816,0.013983460961861814
38,38_0,COMPLETED,Sobol,-0.6727724671363831,71.12405811353854,8101.237097615229
39,39_0,COMPLETED,Sobol,-0.5318533778190613,0.34849233118216666,0.4946306179787207
40,40_0,COMPLETED,Sobol,-0.5127167105674744,0.1406510077422903,5.175643987166448
41,41_0,COMPLETED,Sobol,-0.31186214089393616,28.69178279610997,0.005134989014805573
42,42_0,COMPLETED,Sobol,-0.578318178653717,235.14634335037158,396.66097018798826
43,43_0,COMPLETED,Sobol,-0.6609371900558472,0.014051443526426838,0.18101886757013144
44,44_0,COMPLETED,Sobol,-0.5519144535064697,0.0010103206535163993,2364.3935492897394
45,45_0,COMPLETED,Sobol,-0.6277196407318115,3145.293665943994,1.8191777105247426
46,46_0,COMPLETED,Sobol,-0.2646089792251587,6.256323016113067,27.685622670814933
47,47_0,COMPLETED,Sobol,-0.48449021577835083,0.6708132912128238,0.04470192743141406
48,48_0,COMPLETED,Sobol,-0.27369481325149536,0.9578690241314501,46.506611095127994
49,49_0,COMPLETED,Sobol,-0.3825978636741638,3.2751607293750626,0.027462760718994672
50,50_0,COMPLETED,BoTorch,-0.2623021900653839,11.457652554389746,53.961050708382196
51,51_0,COMPLETED,BoTorch,-0.25073525309562683,11.867485829042039,25.665860202334123
52,52_0,COMPLETED,BoTorch,-0.2743723690509796,14.509707677083137,39.33091266496054
53,53_0,COMPLETED,BoTorch,-0.289367139339447,6.467052031640443,65.23351362203816
54,54_0,COMPLETED,BoTorch,-0.27881965041160583,12.744191494722399,14.612920803039847
55,55_0,COMPLETED,BoTorch,-0.33275115489959717,13.115115273531956,0.010868417383240934
56,56_0,COMPLETED,BoTorch,-0.2996595799922943,0.3566508296025958,55.64268354398113
57,57_0,COMPLETED,BoTorch,-0.268354594707489,10.24168207207109,33.79867033510568
58,58_0,COMPLETED,BoTorch,-0.2417648732662201,15.808170066652762,61.628331760147205
59,59_0,COMPLETED,BoTorch,-0.2724403142929077,13.389535378947956,93.37190762079767
60,60_0,COMPLETED,BoTorch,-0.250973641872406,17.832653006739772,46.015039268840674
61,61_0,COMPLETED,BoTorch,-0.26617586612701416,14.917839790404653,31.081794488862446
62,62_0,COMPLETED,BoTorch,-0.292317271232605,1.2827991628206894,73.705981149956
63,63_0,COMPLETED,BoTorch,-0.264822781085968,19.33002236878683,60.41038318234413
64,64_0,COMPLETED,BoTorch,-0.2621360123157501,13.69082802611501,46.81345942337548
65,65_0,COMPLETED,BoTorch,-0.3049783706665039,19.787903463746954,8.277686252122097
66,66_0,COMPLETED,BoTorch,-0.304859459400177,0.012602960500309549,112.62074724553095
67,67_0,COMPLETED,BoTorch,-0.267447292804718,17.744368655268236,77.73706592817636
68,68_0,COMPLETED,BoTorch,-0.25913769006729126,16.221511830743598,50.19480744736486
69,69_0,COMPLETED,BoTorch,-0.2732251286506653,12.432945879155655,34.40985150849612
70,70_0,COMPLETED,BoTorch,-0.7032371163368225,10000.0,0.001
71,71_0,COMPLETED,BoTorch,-0.2983874976634979,0.6617796478768292,82.21735107793313
72,72_0,COMPLETED,BoTorch,-0.2549000382423401,17.106353003389067,36.05380527957264
73,73_0,COMPLETED,BoTorch,-0.28150737285614014,9.04221601916288,18.94818495613703
74,74_0,COMPLETED,BoTorch,-0.2827318608760834,13.871391810595936,58.785525920351716
75,75_0,COMPLETED,BoTorch,-0.27892717719078064,21.35553439982372,42.94877443348787
76,76_0,COMPLETED,BoTorch,-0.25719237327575684,14.918924058010194,25.396466719062705
77,77_0,COMPLETED,BoTorch,-0.2949083745479584,0.11769357034558835,83.95402693278305
78,78_0,COMPLETED,BoTorch,-0.2753669321537018,3.1261522297767663,52.956807898913304
79,79_0,COMPLETED,BoTorch,-0.3286415636539459,33.12246789806533,0.001
80,80_0,COMPLETED,BoTorch,-0.25655031204223633,16.775195877060714,28.702615160092616
81,81_0,COMPLETED,BoTorch,-0.2664414644241333,9.224547693700984,40.32407181248015
82,82_0,COMPLETED,BoTorch,-0.2600586414337158,15.913575238455959,40.76187479379259
83,83_0,COMPLETED,BoTorch,-0.3865799605846405,5.601137827604703,0.2916920374612456
84,84_0,COMPLETED,BoTorch,-0.2982490062713623,0.001,121.41842414738254
85,85_0,COMPLETED,BoTorch,-0.25479990243911743,13.2156600438789,30.214934958666802
86,86_0,COMPLETED,BoTorch,-0.2681240141391754,13.12458702299734,40.415165445455294
87,87_0,COMPLETED,BoTorch,-0.41316747665405273,0.001,26.498202334903485
88,88_0,COMPLETED,BoTorch,-0.30816635489463806,0.0030771052625864766,125.71937127458793
89,89_0,COMPLETED,BoTorch,-0.2647019624710083,16.88255006967196,119.73483659445702
90,90_0,COMPLETED,BoTorch,-0.2582835257053375,15.70789499461003,82.28009249158939
91,91_0,COMPLETED,BoTorch,-0.28191640973091125,13.401422877622268,181.7725179572175
92,92_0,COMPLETED,BoTorch,-0.24381119012832642,19.22145960469543,30.421656012054182
93,93_0,COMPLETED,BoTorch,-0.26404955983161926,17.48762591893556,24.355795125383235
94,94_0,COMPLETED,BoTorch,-0.252873957157135,15.528020589100922,35.20779914512419
95,95_0,COMPLETED,BoTorch,-0.2797788381576538,2.109723412958692,45.935566023973685
96,96_0,COMPLETED,BoTorch,-0.2487291693687439,14.560727579107825,28.261386957914823
97,97_0,COMPLETED,BoTorch,-0.27844148874282837,14.473252356044641,22.965373937015332
98,98_0,COMPLETED,BoTorch,-0.2587895393371582,18.53274535195438,38.077289398626526
99,99_0,COMPLETED,BoTorch,-0.27343088388442993,16.14341795937226,31.59170399029061
100,100_0,COMPLETED,BoTorch,-0.2749669551849365,9.264491272730556,121.06200930787335
101,101_0,COMPLETED,BoTorch,-0.25710374116897583,13.791928520111215,75.05643270210827
102,102_0,COMPLETED,BoTorch,-0.2718210518360138,4.750959548453974,36.8525036690624
103,103_0,COMPLETED,BoTorch,-0.26322609186172485,17.256803460086868,62.93106939804704
104,104_0,COMPLETED,BoTorch,-0.25361382961273193,18.014497088122134,92.4016796908688
105,105_0,COMPLETED,BoTorch,-0.2685641050338745,11.274803226917896,78.21504738089543
106,106_0,COMPLETED,BoTorch,-0.3255467414855957,20.69871243798848,1.446522873510491
107,107_0,COMPLETED,BoTorch,-0.23289313912391663,16.218190391058506,72.25144447544204
108,108_0,COMPLETED,BoTorch,-0.26564109325408936,19.803516891437084,79.42039381096106
109,109_0,COMPLETED,BoTorch,-0.24853354692459106,14.970258028181956,69.15481955489172
110,110_0,COMPLETED,BoTorch,-0.2842363715171814,6.284765881342737,62.59241092102466
111,111_0,COMPLETED,BoTorch,-0.25671645998954773,15.046168494924556,54.07424282464596
112,112_0,COMPLETED,BoTorch,-0.30362632870674133,6.94208053647658,26.684937641520328
113,113_0,COMPLETED,BoTorch,-0.26621508598327637,17.647586751230595,54.43005042212108
114,114_0,COMPLETED,BoTorch,-0.27837085723876953,15.213448785330229,101.4319844713573
115,115_0,COMPLETED,BoTorch,-0.2594856023788452,15.286861035746199,46.94959574676836
116,116_0,COMPLETED,BoTorch,-0.2532917857170105,16.967567514553203,41.5477267596797
117,117_0,COMPLETED,BoTorch,-0.24107417464256287,16.54251894666469,43.72723892466706
118,118_0,COMPLETED,BoTorch,-0.2639617621898651,25.47187476737629,25.61874065448587
119,119_0,COMPLETED,BoTorch,-0.2734239101409912,19.254747881307797,47.40781867350185
120,120_0,COMPLETED,BoTorch,-0.2701226472854614,17.248454205445338,32.74336219970296
121,121_0,COMPLETED,BoTorch,-0.26906999945640564,14.690938173238512,79.00629931795238
122,122_0,COMPLETED,BoTorch,-0.2522273659706116,18.41134771913495,66.61194516191738
123,123_0,COMPLETED,BoTorch,-0.2668265104293823,21.385208582746834,32.26225593979186
124,124_0,COMPLETED,BoTorch,-0.25727763772010803,16.008729409631034,55.309049492060915
125,125_0,COMPLETED,BoTorch,-0.25207996368408203,13.843559289025578,52.15561303280149
126,126_0,COMPLETED,BoTorch,-0.2632816433906555,23.050629879479082,68.97205519820206
127,127_0,COMPLETED,BoTorch,-0.26292699575424194,19.14921837581034,22.329047238853704
128,128_0,COMPLETED,BoTorch,-0.2557269334793091,17.90644958962746,41.44837373956178
129,129_0,COMPLETED,BoTorch,-0.28927069902420044,2.888554124959609,85.15078271892001
130,130_0,COMPLETED,BoTorch,-0.24691364169120789,19.083054077840266,54.936402285205716
131,131_0,COMPLETED,BoTorch,-0.2412312626838684,16.731555468723226,66.62700930184936
132,132_0,COMPLETED,BoTorch,-0.23790819942951202,17.11853625488749,50.28037417849681
133,133_0,COMPLETED,BoTorch,-0.2623889148235321,15.001029072709388,60.728595497866834
134,134_0,COMPLETED,BoTorch,-0.26169294118881226,16.750593511926805,57.90708045187662
135,135_0,COMPLETED,BoTorch,-0.24270758032798767,17.793982345516625,60.38897185822879
136,136_0,COMPLETED,BoTorch,-0.2535543441772461,16.905213627550427,82.50690567298423
137,137_0,COMPLETED,BoTorch,-0.2507186233997345,20.553774843554905,53.18765683332296
138,138_0,COMPLETED,BoTorch,-0.27527669072151184,20.377262202244335,64.24629844785007
139,139_0,COMPLETED,BoTorch,-0.26112133264541626,17.489038380840565,68.83286780272023
140,140_0,COMPLETED,BoTorch,-0.2567315399646759,17.96245650261437,49.43262980495161
141,141_0,COMPLETED,BoTorch,-0.24337606132030487,16.833688364802565,46.011058153690435
142,142_0,COMPLETED,BoTorch,-0.2701019048690796,18.803067525669345,42.96434841232307
143,143_0,COMPLETED,BoTorch,-0.24645280838012695,16.55233756120582,61.82116237581974
144,144_0,COMPLETED,BoTorch,-0.29461318254470825,18.005127115516764,34.58337151699362
145,145_0,COMPLETED,BoTorch,-0.6999579071998596,10000.0,10000.0
146,146_0,COMPLETED,BoTorch,-0.2419857680797577,15.801400603336601,68.21542967384646
147,147_0,COMPLETED,BoTorch,-0.2406463623046875,16.7111659464664,54.35435195232116
148,148_0,COMPLETED,BoTorch,-0.269095778465271,17.08025185799272,16.992740767199503
149,149_0,COMPLETED,BoTorch,-0.24998003244400024,12.682294824466581,19.44821351582588
