trial_index,arm_name,trial_status,generation_method,metric,guidance_strength
0,0_0,COMPLETED,Sobol,0.3814697265625,2.1171437703247107
1,1_0,COMPLETED,Sobol,0.34308433532714844,8.334163429552671
2,2_0,COMPLETED,Sobol,1.6516447067260742,8212.638015892508
3,3_0,COMPLETED,Sobol,0.39315223693847656,0.001889842827262904
4,4_0,COMPLETED,Sobol,0.41937828063964844,0.052640807202046815
5,5_0,COMPLETED,Sobol,0.4633665084838867,298.2913265583641
6,6_0,COMPLETED,Sobol,0.4775524139404297,134.35744070290974
7,7_0,COMPLETED,Sobol,0.4055500030517578,0.1297940657513337
8,8_0,COMPLETED,Sobol,0.5192756652832031,0.2038020965437322
9,9_0,COMPLETED,Sobol,0.37086009979248047,28.14015706041557
10,10_0,COMPLETED,Sobol,0.5545616149902344,520.2399975268816
11,11_0,COMPLETED,Sobol,0.3427267074584961,0.012239997961257472
12,12_0,COMPLETED,Sobol,0.5458593368530273,0.0033341952368863615
13,13_0,COMPLETED,Sobol,0.9675025939941406,1932.6460760120394
14,14_0,COMPLETED,Sobol,0.4458427429199219,12.935384164212955
15,15_0,COMPLETED,Sobol,0.49817562103271484,0.43808322199747585
16,16_0,COMPLETED,Sobol,0.4031658172607422,1.0001125684884087
17,17_0,COMPLETED,Sobol,0.3663301467895508,17.810130577486994
18,18_0,COMPLETED,Sobol,1.146078109741211,2318.322549813085
19,19_0,COMPLETED,Sobol,0.6333589553833008,0.006631580550700104
20,20_0,COMPLETED,Sobol,0.6688833236694336,0.014887518536951076
21,21_0,COMPLETED,Sobol,0.54168701171875,1045.057572541195
22,22_0,COMPLETED,Sobol,0.4202127456665039,63.35366627198893
23,23_0,COMPLETED,Sobol,0.552058219909668,0.2778167170791667
24,24_0,COMPLETED,Sobol,0.6622076034545898,0.05764449839708752
25,25_0,COMPLETED,Sobol,0.4062652587890625,98.55082361184009
26,26_0,COMPLETED,Sobol,0.49674510955810547,245.27393157774324
27,27_0,COMPLETED,Sobol,0.5064010620117188,0.026208236519264242
28,28_0,COMPLETED,Sobol,0.6191730499267578,0.0015752606323655594
29,29_0,COMPLETED,Sobol,1.3909339904785156,4128.620092941036
30,30_0,COMPLETED,Sobol,0.3693103790283203,3.651081141903054
31,31_0,COMPLETED,Sobol,0.40340423583984375,1.5378509676710175
32,32_0,COMPLETED,Sobol,0.35965442657470703,1.301063804858965
33,33_0,COMPLETED,Sobol,0.3230571746826172,4.952883197968552
34,34_0,COMPLETED,Sobol,1.4820098876953125,4880.381509617365
35,35_0,COMPLETED,Sobol,0.4464387893676758,0.0011611694695247558
36,36_0,COMPLETED,Sobol,0.5285739898681641,0.03134772783433069
37,37_0,COMPLETED,Sobol,0.4774332046508789,182.94294550269228
38,38_0,COMPLETED,Sobol,0.42557716369628906,82.39707263021225
39,39_0,COMPLETED,Sobol,0.5168914794921875,0.07727873004408126
40,40_0,COMPLETED,Sobol,0.5617141723632812,0.3322826650782107
41,41_0,COMPLETED,Sobol,0.3910064697265625,47.257289227670434
42,42_0,COMPLETED,Sobol,0.6273984909057617,873.7176600494571
43,43_0,COMPLETED,Sobol,0.446319580078125,0.019959923620427623
44,44_0,COMPLETED,Sobol,0.5297660827636719,0.0056100797167082
45,45_0,COMPLETED,Sobol,1.3856887817382812,3145.0665253620828
46,46_0,COMPLETED,Sobol,0.3439188003540039,21.051445604830217
47,47_0,COMPLETED,Sobol,0.48995018005371094,0.7372471767893256
48,48_0,COMPLETED,Sobol,0.5534887313842773,0.6133363216244101
49,49_0,COMPLETED,Sobol,0.35858154296875,10.604055266782089
50,50_0,COMPLETED,BoTorch,0.3330707550048828,6.35390613821505
51,51_0,COMPLETED,BoTorch,0.33485889434814453,2.82277841853149
52,52_0,COMPLETED,BoTorch,0.46455860137939453,0.001
53,53_0,COMPLETED,BoTorch,0.3457069396972656,4.193890186015024
54,54_0,COMPLETED,BoTorch,0.4558563232421875,3.2550125221930726
55,55_0,COMPLETED,BoTorch,0.3050565719604492,36.37596448266825
56,56_0,COMPLETED,BoTorch,0.2913475036621094,7.250031766111447
57,57_0,COMPLETED,BoTorch,0.4239082336425781,5.677674806809895
58,58_0,COMPLETED,BoTorch,0.3985166549682617,15.118584839038483
59,59_0,COMPLETED,BoTorch,0.33223628997802734,24.508719518808043
60,60_0,COMPLETED,BoTorch,0.33783912658691406,31.59492648932121
61,61_0,COMPLETED,BoTorch,0.3612041473388672,9.244598698788424
62,62_0,COMPLETED,BoTorch,0.36346912384033203,41.370784248736676
63,63_0,COMPLETED,BoTorch,0.5162954330444336,2.4778259435807457
64,64_0,COMPLETED,BoTorch,0.3942251205444336,11.754369955054646
65,65_0,COMPLETED,BoTorch,0.362396240234375,22.580582147117518
66,66_0,COMPLETED,BoTorch,0.4448890686035156,19.49117568433816
67,67_0,COMPLETED,BoTorch,0.40924549102783203,1.7598380618316736
68,68_0,COMPLETED,BoTorch,0.5168914794921875,57.066916986426996
69,69_0,COMPLETED,BoTorch,0.30922889709472656,16.239415908608844
70,70_0,COMPLETED,BoTorch,0.3464221954345703,7.797613399230201
